scenario,topology,step_index,source_time_s,timestamp_s,event_active,grid_voltage_pu,ups_output_voltage_pu,ups_mode,battery_energy_j,vfd_available_output_pu,vfd_tripped,motor_speed_rad_s,pump_flow_m3_s,pump_head_pa,pump_operating_point_residual_pa,upw_supply_pressure_pa,upw_tool_flow_m3_s,upw_temperature_k,upw_mass_balance_residual_m3_s,pressure_support,flow_support,hydraulic_support,effective_availability,dressing_availability,slurry_utility_availability,coolant_temperature_k,cooling_conductance_factor,cmp_mode,cmp_pad_surface_activity,cmp_interface_temperature_k,cmp_mrr_m_s,cmp_cumulative_removal_m
healthy_25pct_400ms_sag,NO_CONNECTION,1,0.0,0.01,False,1.0,1.0,GRID,3600000.0,1.0,False,188.49995111039513,0.00020000082829812828,199998.13591130078,0.0,299998.2218258083,0.0001,293.15,-9.049260353641732e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.50009,293.15,0.0,0.0
healthy_25pct_400ms_sag,NO_CONNECTION,2,0.01,0.02,False,1.0,1.0,GRID,3600000.0,1.0,False,188.49995355487536,0.000200000790528252,199998.22182580832,2.9103830456733704e-11,299998.30378219485,0.0001,293.15,-4.90576754566549e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5001799837820032,293.15,0.0,0.0
healthy_25pct_400ms_sag,NO_CONNECTION,3,0.02,0.03,False,1.0,1.0,GRID,3600000.0,1.0,False,188.49995587713158,0.00020000075447806147,199998.30378219482,-2.9103830456733704e-11,299998.38195508346,0.0001,293.15,4.274760395925176e-14,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5002699513489355,293.15,0.0,0.0
healthy_25pct_400ms_sag,NO_CONNECTION,4,0.03,0.04,False,1.0,1.0,GRID,3600000.0,1.0,False,188.499958083275,0.00020000072007321434,199998.3819550835,2.9103830456733704e-11,299998.4565190971,0.0001,293.15,5.333931874743185e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5003599027037219,293.15,0.0,0.0
healthy_25pct_400ms_sag,NO_CONNECTION,5,0.04,0.05,False,1.0,1.0,GRID,3600000.0,1.0,False,188.49996017911124,0.00020000068723871993,199998.45651909706,-2.9103830456733704e-11,299998.5276488587,0.0001,293.15,8.190578445511165e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5004498378492871,293.15,0.0,0.0
healthy_25pct_400ms_sag,NO_CONNECTION,6,0.05,0.06,False,1.0,1.0,GRID,3600000.0,1.0,False,188.49996217015567,0.00020000065589897146,199998.5276488587,-2.9103830456733704e-11,299998.59551899135,0.0001,293.15,7.368232716672808e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5005397567885552,293.15,0.0,0.0
healthy_25pct_400ms_sag,NO_CONNECTION,7,0.06,0.07,False,1.0,1.0,GRID,3600000.0,1.0,False,188.4999640616479,0.00020000062597777684,199998.59551899135,0.0,299998.66030411795,0.0001,293.15,1.2318592652005916e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5006296595244499,293.15,0.0,0.0
healthy_25pct_400ms_sag,NO_CONNECTION,8,0.07,0.08,False,1.0,1.0,GRID,3600000.0,1.0,False,188.4999658585655,0.00020000059739838798,199998.66030411798,2.9103830456733704e-11,299998.72212065384,0.0001,293.15,7.343260114445962e-15,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5007195460598943,293.15,0.0,0.0
healthy_25pct_400ms_sag,NO_CONNECTION,9,0.08,0.09,False,1.0,1.0,GRID,3600000.0,1.0,False,188.49996756563723,0.00020000057011263246,199998.72212065384,0.0,299998.78108501434,0.0001,293.15,2.829151713248024e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5008094163978108,293.15,0.0,0.0
healthy_25pct_400ms_sag,NO_CONNECTION,10,0.09,0.1,False,1.0,1.0,GRID,3600000.0,1.0,False,188.49996918735536,0.00020000054407183582,199998.78108501434,0.0,299998.8373136148,0.0001,293.15,8.43019573419629e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5008992705411216,293.15,0.0,0.0
